,,,,,,,
,AFRIMA AWARD 2026 EKO HOTEL CHANNEL LIST ,,,,,,
,,,,,,,
,TOTAL,INSTRUMENT,MIC / DI,STAND,NOTES,CABLES,
,1,KICK IN,B91,-,DRUM WORLD,XLR,16 Breakout Stage Box (A)
,2,KICK OUT,AUDIX D6,SHORT,,XLR,
,3,SNARE TOP,E904,SHORT,,XLR,
,4,SNARE BOTTOM,E904,SHORT,,XLR,
,5,SNARE 2 TOP,E904,SHORT,,XLR,
,6,HI HAT,M160 beyer,SHORT,,XLR,
,7,TOM 1,B98 CLAMP,-,,XLR,
,8,TOM 2,B98 CLAMP,-,,XLR,
,9,FLOOR,AUDIX D6,SHORT,,XLR,
,10,OVERHEAD L,M160 beyer,TALL BOOM,,XLR,
,11,OVERHEAD R,M160 beyer,TALL BOOM,,XLR,
,12,SPD MONO,DI,-,,XLR,
,13,BASS GUITAR,Di,-,,XLR,16 Breakout Stage Box (A) 15/16
,14,,,,,XLR,
,14,GUITAR,DI,,,XLR,
,15, KEYS 1L ,Mixer,-,KEYS 1 WORLD,XLR,4 Lines to one Mixer
,16,KEYS 1R ,,-,,XLR,
,17, KEYS 2L ,Mixer,-,,XLR,4 lINES to one Mixer
,18, KEYS 2R ,,-,,XLR,
,19,LEAD SAX,INSTRUMENT ON *** RF 18**BODYPACK ***,,,LOOM,
,20,TONOR SAX,SM57,,,XLR,
,21,SOPRANO SAX,SM57,,,XLR,
,22,ALTO SAX,SM57,,,XLR,
,23,TRUMPET ,SM57,,,XLR,
,24,LEAD VOX 1,SHURE ULD2 RF **RF 1**,Round Base ,,LOOM,
,25,LEAD VOX 2,SHURE ULD2 RF **RF 2**,,,,
,26,BGVs 1,SHURE ULD2 RF **RF 3**,NO STANDS,,,
,27,BGVs 2,SHURE ULD2 RF **RF 4**,,,,
,28,BGVs 3,SHURE ULD2 RF **RF 5**,,,,
,29,BGVs 4,SHURE ULD2 RF **RF 6**,,,,
,30,BGVs 5,SHURE ULD2 RF **RF 7**,,,,
,31,BGVs 6,SHURE ULD2 RF **RF 8**,,,,
,32,BGVs 7,SHURE ULD2 RF **RF 9**,,,,
,33,BGVs 8,SHURE ULD2 RF **RF 10**,,,,
,34,Playback HD 1,,,PLAY BACK WORLD ,XLR,
,35,Playback HD 2,,,,XLR,
